,obj_type,Farmer ID,t,budget,crop_id,cellcount
0,Trader,44,0,488.4357,3,1
1,Trader,44,1,497.09939999999995,1,2
2,Trader,44,2,482.73628439540715,3,3
3,Trader,44,3,476.3466328557849,0,4
4,Trader,44,4,481.38338626433693,0,5
5,Trader,44,5,460.9745298382777,1,6
6,Trader,44,6,457.54090086982006,1,7
7,Trader,44,7,438.5648883371398,3,8
8,Trader,44,8,429.81265954138394,0,9
9,Trader,44,9,439.3601815845276,3,9
10,Trader,44,10,450.6198105581961,1,9
11,Trader,44,11,444.66696498813,2,9
12,Trader,44,12,465.620419038713,2,9
13,Trader,44,13,457.78119910579665,3,9
14,Trader,44,14,460.91301817801093,1,9
15,Trader,44,15,458.5041042288952,1,10
16,Trader,44,16,461.6078587540385,1,10
17,Trader,44,17,456.66128038956464,0,10
18,Trader,44,18,456.1410921559709,2,10
19,Trader,44,19,452.78405822431955,3,10
20,Trader,44,20,504.68226906417794,2,10
21,Trader,44,21,502.5233382026222,0,10
22,Trader,44,22,509.7422178256744,1,10
23,Trader,44,23,515.0711807857869,2,10
24,Trader,44,24,505.9491216082416,3,10
25,Trader,44,25,517.4836577632378,1,10
26,Trader,44,26,523.3149497863433,0,10
27,Trader,44,27,548.4662273626427,2,10
28,Trader,44,28,531.5113647529562,0,10
29,Trader,44,29,517.9113937622066,3,10
30,Trader,44,30,543.1609334604119,1,10
31,Trader,44,31,543.0456235995672,2,10
32,Trader,44,32,561.699942159016,2,10
33,Trader,44,33,559.8760920509468,1,10
34,Trader,44,34,560.6514982135932,3,10
35,Trader,44,35,592.4018472848646,0,10
36,Trader,44,36,598.3340540555854,3,10
37,Trader,44,37,607.035058222748,1,10
38,Trader,44,38,625.7306173342131,1,10
39,Trader,44,39,631.8022638985191,1,10
40,Trader,44,40,620.5116609429286,2,10
41,Trader,44,41,637.2928014797392,2,10
42,Trader,44,42,634.9067726585688,0,10
43,Trader,44,43,628.6137746193169,3,10
44,Trader,44,44,649.7497899604134,3,10
45,Trader,44,45,649.5772992966023,0,10
46,Trader,44,46,655.8054780571009,0,10
47,Trader,44,47,654.7235078460561,1,10
48,Trader,44,48,669.9160661727165,1,10
49,Trader,44,49,675.431252353878,1,10
50,Trader,44,50,672.5865477668091,0,10
51,Trader,45,0,488.5794,2,1
52,Trader,45,1,482.28348260869575,0,2
53,Trader,45,2,470.5303246086957,3,3
54,Trader,45,3,461.6766730690735,0,4
55,Trader,45,4,462.4987945914254,1,5
56,Trader,45,5,449.7232621736788,3,6
57,Trader,45,6,453.35583187331787,2,7
58,Trader,45,7,443.01944201817815,1,8
59,Trader,45,8,441.188451433376,0,8
60,Trader,45,9,427.5365127113588,1,8
61,Trader,45,10,439.14170273284475,1,8
62,Trader,45,11,442.76690374986134,1,8
63,Trader,45,12,439.3989759729821,0,8
64,Trader,45,13,437.349683807763,3,8
65,Trader,45,14,440.11408727279274,1,8
66,Trader,45,15,445.04420210337304,0,8
67,Trader,45,16,462.92750416485353,2,8
68,Trader,45,17,472.0196362564573,0,8
69,Trader,45,18,463.49829790535335,2,8
70,Trader,45,19,458.27096312284255,3,8
71,Trader,45,20,510.69186444244735,1,8
72,Trader,45,21,523.2609359346698,0,8
73,Trader,45,22,520.1637884045497,2,8
74,Trader,45,23,530.1602245717175,2,8
75,Trader,45,24,521.2296289269934,3,8
76,Trader,45,25,540.556798303817,2,8
77,Trader,45,26,545.8289195630796,2,8
78,Trader,45,27,551.3650714442329,2,8
79,Trader,45,28,547.4244456891066,0,8
80,Trader,45,29,539.8789988132056,3,8
81,Trader,45,30,560.3845731353998,1,8
82,Trader,45,31,562.2723788347721,2,8
83,Trader,45,32,564.0103763623225,0,8
84,Trader,45,33,561.1709320556065,2,8
85,Trader,45,34,558.6553430660717,1,8
86,Trader,45,35,558.138779057413,0,8
87,Trader,45,36,552.4453097419741,2,8
88,Trader,45,37,559.32103448121,2,8
89,Trader,45,38,559.5490164953011,1,8
90,Trader,45,39,563.181807995837,1,8
91,Trader,45,40,557.6545945780931,0,8
92,Trader,45,41,596.8638708122804,3,8
93,Trader,45,42,622.6764722713207,0,8
94,Trader,45,43,617.2127953129964,1,8
95,Trader,45,44,619.2935500530946,2,8
96,Trader,45,45,631.1124964120341,2,8
97,Trader,45,46,636.2464036481273,2,8
98,Trader,45,47,636.0211316998893,1,8
99,Trader,45,48,628.0901478797507,2,8
100,Trader,45,49,638.3486905532827,2,8
101,Trader,45,50,641.962664486361,2,8
102,Introvert,46,0,488.5794,2,1
103,Introvert,46,1,489.9404565217391,2,1
104,Introvert,46,2,490.8792354112221,2,1
105,Introvert,46,3,492.21447490700837,2,1
106,Introvert,46,4,493.4622126442053,2,1
107,Introvert,46,5,494.72184791249566,2,1
108,Introvert,46,6,495.8601149016325,2,1
109,Introvert,46,7,497.0652212904047,2,1
110,Introvert,46,8,497.66215470859527,2,1
111,Introvert,46,9,498.74092901626636,2,1
112,Introvert,46,10,499.7974880622694,2,1
113,Introvert,46,11,500.80494030292573,2,1
114,Introvert,46,12,501.82225886198825,2,1
115,Introvert,46,13,502.27931348270306,2,1
116,Introvert,46,14,502.74383723824957,2,1
117,Introvert,46,15,503.56927820360124,2,1
118,Introvert,46,16,504.5451952709143,2,1
119,Introvert,46,17,505.50190132360973,2,1
120,Introvert,46,18,505.9541371938655,2,1
121,Introvert,46,19,506.3056829840581,2,1
122,Introvert,46,20,506.52394616575174,2,1
123,Introvert,46,21,506.9506227596543,2,1
124,Introvert,46,22,507.32987505313986,2,1
125,Introvert,46,23,507.95370401159647,2,1
126,Introvert,46,24,508.18947770042394,2,1
127,Introvert,46,25,508.47413316959427,2,1
128,Introvert,46,26,508.924050885339,2,1
129,Introvert,46,27,509.38966692939044,2,1
130,Introvert,46,28,509.6198517958215,2,1
131,Introvert,46,29,509.8291103733631,2,1
132,Introvert,46,30,510.26226939704736,2,1
133,Introvert,46,31,510.9419480686171,2,1
134,Introvert,46,32,511.2874280573311,2,1
135,Introvert,46,33,511.5320539188551,2,1
136,Introvert,46,34,511.71399951926816,2,1
137,Introvert,46,35,511.94871562648746,2,1
138,Introvert,46,36,512.3916943349226,2,1
139,Introvert,46,37,513.0720540743004,2,1
140,Introvert,46,38,513.591377306866,2,1
141,Introvert,46,39,514.1020287594429,2,1
142,Introvert,46,40,515.0202077029944,2,1
143,Introvert,46,41,515.972293936318,2,1
144,Introvert,46,42,516.3905761209201,2,1
145,Introvert,46,43,516.8010619763122,2,1
146,Introvert,46,44,517.4597822112929,2,1
147,Introvert,46,45,518.4275068114384,2,1
148,Introvert,46,46,518.8826171745699,2,1
149,Introvert,46,47,519.3633666448075,2,1
150,Introvert,46,48,519.8264510546286,2,1
151,Introvert,46,49,520.7080740349907,2,1
152,Introvert,46,50,521.1625692888357,2,1
153,Introvert,47,0,489.384,1,1
154,Introvert,47,1,490.6811178095238,1,1
155,Introvert,47,2,491.6433182713911,1,1
156,Introvert,47,3,492.669738276359,1,1
157,Introvert,47,4,493.8813231791042,1,1
158,Introvert,47,5,495.0781585295688,1,1
159,Introvert,47,6,495.74574972741163,1,1
160,Introvert,47,7,496.42720800154166,1,1
161,Introvert,47,8,497.0300340467015,1,1
162,Introvert,47,9,497.53125162252667,1,1
163,Introvert,47,10,498.5846765045348,1,1
164,Introvert,47,11,498.8624220146113,1,1
165,Introvert,47,12,499.1180906483618,1,1
166,Introvert,47,13,499.46652145642423,1,1
167,Introvert,47,14,499.9830430203719,1,1
168,Introvert,47,15,500.4131624774855,1,1
169,Introvert,47,16,500.68679306346417,1,1
170,Introvert,47,17,500.98905944602376,1,1
171,Introvert,47,18,501.2791620640644,1,1
172,Introvert,47,19,501.6764976144233,1,1
173,Introvert,47,20,502.2805637271753,1,1
174,Introvert,47,21,503.1942480046223,1,1
175,Introvert,47,22,503.6310305599644,1,1
176,Introvert,47,23,504.55025386678693,1,1
177,Introvert,47,24,504.93018453605015,1,1
178,Introvert,47,25,505.7999600554228,1,1
179,Introvert,47,26,506.66276075262857,1,1
180,Introvert,47,27,507.037595503617,1,1
181,Introvert,47,28,507.8939391398906,1,1
182,Introvert,47,29,508.7511186432999,1,1
183,Introvert,47,30,509.6068647803357,1,1
184,Introvert,47,31,509.9373319395682,1,1
185,Introvert,47,32,510.2237381064229,1,1
186,Introvert,47,33,510.6214224483708,1,1
187,Introvert,47,34,511.54282114984346,1,1
188,Introvert,47,35,511.9283537933968,1,1
189,Introvert,47,36,512.3743075813725,1,1
190,Introvert,47,37,513.2860379876224,1,1
191,Introvert,47,38,514.1448314918076,1,1
192,Introvert,47,39,514.3456113622204,1,1
