,obj_type,Farmer ID,t,budget,crop_id,cellcount
0,Trader,44,0,489.1597,0,1
1,Trader,44,1,500.5513681778208,0,1
2,Trader,44,2,502.715346536793,0,1
3,Trader,44,3,504.1121424484408,2,1
4,Trader,44,4,505.70260979140966,0,1
5,Trader,44,5,508.53370979140965,3,2
6,Trader,44,6,507.7185936233354,2,3
7,Trader,44,7,538.4741848498949,1,3
8,Trader,44,8,545.1050705641804,2,4
9,Trader,44,9,547.589137664837,1,5
10,Trader,44,10,566.2086597245526,2,5
11,Trader,44,11,568.5355320576999,3,5
12,Trader,44,12,570.640620088244,2,5
13,Trader,44,13,612.5846933513072,1,6
14,Trader,44,14,664.3144604340913,2,6
15,Trader,44,15,682.4609045213089,1,6
16,Trader,44,16,688.8679730444122,1,6
17,Trader,44,17,665.7746605507548,3,7
18,Trader,44,18,653.2218344766424,0,8
19,Trader,44,19,652.7091234785298,2,9
20,Trader,44,20,693.6809763712317,2,9
21,Trader,44,21,700.5602656618468,2,9
22,Trader,44,22,697.9990057175891,0,9
23,Trader,44,23,698.6792670060422,2,9
24,Trader,44,24,703.1875165981395,3,9
25,Trader,44,25,707.6403632706418,1,9
26,Trader,44,26,719.7987623733578,1,9
27,Trader,44,27,707.9711499413437,0,10
28,Trader,44,28,693.5701101202375,3,11
29,Trader,44,29,696.3750010560507,1,12
30,Trader,44,30,814.0698213015421,0,12
31,Trader,44,31,813.5795589692736,3,12
32,Trader,44,32,828.1324118270296,1,12
33,Trader,44,33,806.2043808340185,2,12
34,Trader,44,34,810.3984782071096,0,12
35,Trader,44,35,819.4645320633227,0,13
36,Trader,44,36,790.3964919678666,2,14
37,Trader,44,37,825.1884404802873,1,14
38,Trader,44,38,838.8688326999217,1,14
39,Trader,44,39,823.2148709918764,2,14
40,Trader,44,40,831.9166439802488,2,14
41,Trader,44,41,829.403557426796,1,14
42,Trader,44,42,834.4666919978134,1,14
43,Trader,44,43,817.424167147538,2,14
44,Trader,44,44,809.6376977809819,0,14
45,Trader,44,45,798.0303816666269,2,14
46,Trader,44,46,792.5001804240432,1,14
47,Trader,44,47,797.4021676585716,1,14
48,Trader,44,48,800.421714288258,1,14
49,Trader,44,49,802.560515952041,1,14
50,Trader,44,50,784.639753637035,2,14
51,Trader,44,51,778.5435664937264,1,14
52,Trader,44,52,780.9112665585495,1,14
53,Trader,44,53,782.4590754548112,1,14
54,Trader,44,54,763.7708931111703,2,14
55,Trader,44,55,765.3792258085394,2,14
56,Trader,44,56,766.3892734818764,2,14
57,Trader,44,57,767.2070318118425,2,14
58,Trader,44,58,767.9609190567858,2,14
59,Trader,44,59,760.0798184928386,1,14
60,Trader,44,60,761.3485721406945,1,14
61,Trader,44,61,750.5938257297116,0,14
62,Trader,44,62,770.6845313501516,1,14
63,Trader,44,63,752.3326539851687,2,14
64,Trader,44,64,753.976315277725,2,14
65,Trader,44,65,755.4187678723291,2,14
66,Trader,44,66,748.207354424374,1,14
67,Trader,44,67,750.0658603629181,1,14
68,Trader,44,68,751.4697277217982,1,14
69,Trader,44,69,732.781825778137,2,14
70,Trader,44,70,713.6035679347513,0,14
71,Trader,44,71,710.0737170307555,1,14
72,Trader,44,72,711.298733851118,1,14
73,Trader,44,73,692.443721019731,2,14
74,Trader,44,74,684.98943863194,1,14
75,Trader,44,75,686.1826831452835,1,14
76,Trader,44,76,655.594135041149,2,14
77,Trader,44,77,656.8899517483047,2,14
78,Trader,44,78,649.5246522874309,1,14
79,Trader,44,79,630.3843905694067,2,14
80,Trader,44,80,619.5297764520352,0,14
81,Trader,44,81,642.8485008222054,0,14
82,Trader,44,82,648.7545463809362,0,14
83,Trader,44,83,642.5630480588892,1,14
84,Trader,44,84,643.5432967791069,1,14
85,Trader,44,85,624.6366984349074,2,14
86,Trader,44,86,617.3724175422369,1,14
87,Trader,44,87,618.5229363846829,1,14
88,Trader,44,88,599.7602547450457,2,14
89,Trader,44,89,589.5230879051652,0,14
